ReportingYear,StationLocalId,SamplingPointLocalId,Pollutant,AQValue,Unit,SamplingPoint_Latitude,SamplingPoint_Longitude,AggregationType,Namespace,BeginPosition,EndPosition
2016,STA-NL00546,SPO-NL00546_00020_100,Benzene (air),41.1,ug.m-3,52.420218999481349,4.8320639999999999,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00821,SPO-NL00821_00391_100,black_carbon (aerosol),10.02999999,ug.m-3,52.234500889480465,6.9194941500000002,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00237,SPO-NL00237_00391_100,black_carbon (aerosol),12.60999999,ug.m-3,51.445279999476931,5.4288999999999996,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00641,SPO-NL00641_00391_100,black_carbon (aerosol),7.91999999,ug.m-3,52.203055999480299,4.9886140000000001,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00444,SPO-NL00444_00391_100,black_carbon (aerosol),7.76999999,ug.m-3,52.298053739480757,4.5102863299999996,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00741,SPO-NL00741_00391_100,black_carbon (aerosol),17.28999999,ug.m-3,51.848888999478682,5.8580610000000011,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00020,SPO-NL00020_00391_100,black_carbon (aerosol),14,ug.m-3,52.375831599481117,4.8608417499999996,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00494,SPO-NL00494_00391_100,black_carbon (aerosol),11.901,ug.m-3,51.921110999479019,4.401389,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00491,SPO-NL00491_00391_100,black_carbon (aerosol),12.379,ug.m-3,51.93805599947909,4.4311109999999996,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00012,SPO-NL00012_00391_100,black_carbon (aerosol),10.56,ug.m-3,52.390003199481221,4.8880581900000006,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00247,SPO-NL00247_00391_100,black_carbon (aerosol),11.41,ug.m-3,51.407501219476785,5.3933334400000001,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00496,SPO-NL00496_00391_100,black_carbon (aerosol),13.082,ug.m-3,51.978055999479267,4.1213889999999989,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00807,SPO-NL00807_00391_100,black_carbon (aerosol),8.48,ug.m-3,52.389167789481192,6.4036140399999999,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00131,SPO-NL00131_00391_100,black_carbon (aerosol),8.22,ug.m-3,51.541110989477339,5.8536138500000012,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00742,SPO-NL00742_00391_100,black_carbon (aerosol),10.73,ug.m-3,51.838888999478641,5.8580609999999993,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00487,SPO-NL00487_00391_100,black_carbon (aerosol),14.161,ug.m-3,51.891113279478887,4.48111105,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00633,SPO-NL00633_00391_100,black_carbon (aerosol),8.11999999,ug.m-3,52.138888999480002,4.8383359999999991,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00938,SPO-NL00938_00391_100,black_carbon (aerosol),27.78999999,ug.m-3,53.246944429485559,6.6088972100000003,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00488,SPO-NL00488_00391_100,black_carbon (aerosol),14.756,ug.m-3,51.89389037947889,4.4874997100000007,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00138,SPO-NL00138_00391_100,black_carbon (aerosol),10.35,ug.m-3,50.900316999474725,5.986853,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00929,SPO-NL00929_00391_100,black_carbon (aerosol),8.05,ug.m-3,52.876663209483603,6.9333334000000022,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00003,SPO-NL00003_00391_100,black_carbon (aerosol),14.05,ug.m-3,52.3888893094812,4.94389725,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00007,SPO-NL00007_00391_100,black_carbon (aerosol),12.48,ug.m-3,52.381111149481171,4.8450112300000008,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00014,SPO-NL00014_00391_100,black_carbon (aerosol),7.69,ug.m-3,52.359996799481046,4.8088974999999996,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00017,SPO-NL00017_00391_100,black_carbon (aerosol),10.91,ug.m-3,52.358055109481057,4.9000000999999989,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00701,SPO-NL00701_00391_100,black_carbon (aerosol),16.19999999,ug.m-3,52.45000075948149,4.8166665999999996,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2014,STA-NL00644,SPO-NL00644_00010_100,Carbon monoxide (air),0.661,mg.m-3,51.974639999479258,4.9234299999999989,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00488,SPO-NL00488_00010_100,Carbon monoxide (air),2.317,mg.m-3,51.89389037947889,4.4874997100000007,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2016,STA-NL00551,SPO-NL00551_00010_100,Carbon monoxide (air),2897.9,mg.m-3,52.463019999481546,4.6019220000000001,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2013,STA-NL00561,SPO-NL00561_00010_100,Carbon monoxide (air),2.249,mg.m-3,52.333560999480937,4.7735890000000012,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2014,STA-NL00007,SPO-NL00007_00010_100,Carbon monoxide (air),2.594,mg.m-3,52.381111149481171,4.8450112300000008,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00561,SPO-NL00561_00010_100,Carbon monoxide (air),2.108,mg.m-3,52.333560999480937,4.7735890000000012,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00741,SPO-NL00741_00010_100,Carbon monoxide (air),2.855,mg.m-3,51.848888999478682,5.8580610000000011,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2016,STA-NL00741,SPO-NL00741_00010_100,Carbon monoxide (air),2780.36999999,mg.m-3,51.848888999478682,5.8580610000000011,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2016,STA-NL00644,SPO-NL00644_00010_100,Carbon monoxide (air),1082.69,mg.m-3,51.974639999479258,4.9234299999999989,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2013,STA-NL00012,SPO-NL00012_00010_100,Carbon monoxide (air),2.27,mg.m-3,52.390003199481221,4.8880581900000006,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00564,SPO-NL00564_00010_100,Carbon monoxide (air),1.335,mg.m-3,52.287427999480727,4.7666780000000006,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00488,SPO-NL00488_00010_100,Carbon monoxide (air),2.19,mg.m-3,51.89389037947889,4.4874997100000007,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2014,STA-NL00012,SPO-NL00012_00010_100,Carbon monoxide (air),1.492,mg.m-3,52.390003199481221,4.8880581900000006,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00487,SPO-NL00487_00010_100,Carbon monoxide (air),3.39,mg.m-3,51.891113279478887,4.48111105,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00491,SPO-NL00491_00010_100,Carbon monoxide (air),1.751,mg.m-3,51.93805599947909,4.4311109999999996,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2016,STA-NL00007,SPO-NL00007_00010_100,Carbon monoxide (air),2179.09999999,mg.m-3,52.381111149481171,4.8450112300000008,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2015,STA-NL00012,SPO-NL00012_00010_100,Carbon monoxide (air),1.7,mg.m-3,52.390003199481221,4.8880581900000006,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00491,SPO-NL00491_00010_100,Carbon monoxide (air),1.92,mg.m-3,51.93805599947909,4.4311109999999996,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00007,SPO-NL00007_00010_100,Carbon monoxide (air),2.01,mg.m-3,52.381111149481171,4.8450112300000008,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00014,SPO-NL00014_00010_100,Carbon monoxide (air),2.04,mg.m-3,52.359996799481046,4.8088974999999996,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2013,STA-NL00644,SPO-NL00644_00010_100,Carbon monoxide (air),1.105,mg.m-3,51.974639999479258,4.9234299999999989,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00007,SPO-NL00007_00010_100,Carbon monoxide (air),2.147,mg.m-3,52.381111149481171,4.8450112300000008,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00487,SPO-NL00487_00010_100,Carbon monoxide (air),3.159,mg.m-3,51.891113279478887,4.48111105,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00491,SPO-NL00491_00010_100,Carbon monoxide (air),5.021,mg.m-3,51.93805599947909,4.4311109999999996,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00551,SPO-NL00551_00010_100,Carbon monoxide (air),8.583,mg.m-3,52.463019999481546,4.6019220000000001,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2016,STA-NL00014,SPO-NL00014_00010_100,Carbon monoxide (air),3567.19999999,mg.m-3,52.359996799481046,4.8088974999999996,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2015,STA-NL00644,SPO-NL00644_00010_100,Carbon monoxide (air),0.66,mg.m-3,51.974639999479258,4.9234299999999989,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00741,SPO-NL00741_00010_100,Carbon monoxide (air),1.8,mg.m-3,51.848888999478682,5.8580610000000011,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00633,SPO-NL00633_00010_101,Carbon monoxide (air),0.83,mg.m-3,52.138888999480002,4.8383359999999991,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00487,SPO-NL00487_00010_100,Carbon monoxide (air),4.08,mg.m-3,51.891113279478887,4.48111105,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00551,SPO-NL00551_00010_100,Carbon monoxide (air),3.13,mg.m-3,52.463019999481546,4.6019220000000001,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2013,STA-NL00742,SPO-NL00742_00010_100,Carbon monoxide (air),1.556,mg.m-3,51.838888999478641,5.8580609999999993,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00741,SPO-NL00741_00010_100,Carbon monoxide (air),2.195,mg.m-3,51.848888999478682,5.8580610000000011,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00565,SPO-NL00565_00010_100,Carbon monoxide (air),1.512,mg.m-3,52.327449999480905,4.715072000000001,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00633,SPO-NL00633_00010_101,Carbon monoxide (air),0.876,mg.m-3,52.138888999480002,4.8383359999999991,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00014,SPO-NL00014_00010_100,Carbon monoxide (air),2.044,mg.m-3,52.359996799481046,4.8088974999999996,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2016,STA-NL00014,SPO-NL00014_00010_100,Carbon monoxide (air),3567.19999999,mg.m-3,52.359996799481046,4.8088974999999996,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2015,STA-NL00644,SPO-NL00644_00010_100,Carbon monoxide (air),0.66,mg.m-3,51.974639999479258,4.9234299999999989,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00741,SPO-NL00741_00010_100,Carbon monoxide (air),1.8,mg.m-3,51.848888999478682,5.8580610000000011,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00633,SPO-NL00633_00010_101,Carbon monoxide (air),0.83,mg.m-3,52.138888999480002,4.8383359999999991,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00487,SPO-NL00487_00010_100,Carbon monoxide (air),4.08,mg.m-3,51.891113279478887,4.48111105,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00551,SPO-NL00551_00010_100,Carbon monoxide (air),3.13,mg.m-3,52.463019999481546,4.6019220000000001,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2013,STA-NL00742,SPO-NL00742_00010_100,Carbon monoxide (air),1.556,mg.m-3,51.838888999478641,5.8580609999999993,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00741,SPO-NL00741_00010_100,Carbon monoxide (air),2.195,mg.m-3,51.848888999478682,5.8580610000000011,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00565,SPO-NL00565_00010_100,Carbon monoxide (air),1.512,mg.m-3,52.327449999480905,4.715072000000001,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00633,SPO-NL00633_00010_101,Carbon monoxide (air),0.876,mg.m-3,52.138888999480002,4.8383359999999991,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00014,SPO-NL00014_00010_100,Carbon monoxide (air),2.044,mg.m-3,52.359996799481046,4.8088974999999996,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2014,STA-NL00742,SPO-NL00742_00010_100,Carbon monoxide (air),1.506,mg.m-3,51.838888999478641,5.8580609999999993,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
