Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
5/28/15,Place in Singapore,2015-05-28T00:26:30+08:00,2015-05-28T01:08:30+08:00,2520,1.2911829647,103.8351876171,,
5/28/15,Place in Singapore,2015-05-28T01:17:59+08:00,2015-05-28T05:10:46+08:00,13967,1.3071726201,103.8290142751,,
5/28/15,Place in Singapore,2015-05-28T05:16:10+08:00,2015-05-28T06:59:05+08:00,6175,1.3145426357,103.8407193424,,
5/28/15,Place in Capital Tower,2015-05-28T09:31:34+08:00,2015-05-28T13:20:19+08:00,13725,1.2774381844,103.8477753659,,
5/28/15,Place in Capital Tower,2015-05-28T13:42:53+08:00,2015-05-28T17:15:05+08:00,12732,1.2774381844,103.8477753659,,
5/28/15,Place in One Raffles Place,2015-05-28T17:36:00+08:00,2015-05-28T19:19:55+08:00,6235,1.284803095,103.8508045648,,
5/28/15,Place in Singapore,2015-05-28T19:25:59+08:00,2015-05-28T21:40:35+08:00,8076,1.286216232,103.849935812,,
5/28/15,Place in Singapore,2015-05-28T21:54:30+08:00,2015-05-29T00:00:00+08:00,7530,1.314788985,103.840435244,,
5/29/15,Place in Singapore,2015-05-29T00:00:00+08:00,2015-05-29T09:02:52+08:00,32572,1.314788985,103.840435244,,
5/29/15,Place in Capital Tower,2015-05-29T09:41:04+08:00,2015-05-29T13:43:31+08:00,14547,1.2774381844,103.8477753659,,
5/29/15,Place in Singapore,2015-05-29T13:43:31+08:00,2015-05-29T13:56:36+08:00,785,1.2788246824,103.8484488056,,
5/29/15,Place in Capital Tower,2015-05-29T13:56:36+08:00,2015-05-29T19:36:21+08:00,20385,1.2774381844,103.8477753659,,
5/29/15,Place in Singapore,2015-05-29T19:40:52+08:00,2015-05-29T19:52:04+08:00,672,1.2784123682,103.8484831509,,
5/29/15,Place in Singapore,2015-05-29T20:08:16+08:00,2015-05-29T20:22:11+08:00,835,1.2772616627,103.8038331716,,
5/29/15,Place in Singapore,2015-05-29T20:25:55+08:00,2015-05-29T20:35:19+08:00,564,1.279260864,103.8051124764,,
5/29/15,Place in Singapore,2015-05-29T21:02:15+08:00,2015-05-30T00:00:00+08:00,10665,1.3153408592,103.8405277414,,
5/30/15,Place in Singapore,2015-05-30T00:00:00+08:00,2015-05-30T12:05:24+08:00,43524,1.3153408592,103.8405277414,,
5/30/15,Place in Singapore,2015-05-30T12:05:25+08:00,2015-05-30T12:54:41+08:00,2956,1.3153408592,103.8405277414,,
5/30/15,Place in Singapore,2015-05-30T12:56:56+08:00,2015-05-30T13:43:48+08:00,2812,1.3153408592,103.8405277414,,
5/30/15,Place in Singapore,2015-05-30T14:00:29+08:00,2015-05-30T16:21:12+08:00,8443,1.2981729644,103.8455709855,,
5/30/15,Place in Plaza Singapura,2015-05-30T16:25:54+08:00,2015-05-30T17:28:07+08:00,3733,1.3005353433,103.8452321783,,
5/30/15,Place in Singapore,2015-05-30T17:35:40+08:00,2015-05-30T17:45:06+08:00,566,1.2982972963,103.8452440873,,
5/30/15,Place in Singapore,2015-05-30T18:08:07+08:00,2015-05-31T00:00:00+08:00,21113,1.3153408592,103.8405277414,,
5/31/15,Place in Singapore,2015-05-31T00:00:00+08:00,2015-05-31T06:56:44+08:00,25004,1.3153408592,103.8405277414,,
5/31/15,Place in Singapore,2015-05-31T06:56:45+08:00,2015-05-31T07:08:49+08:00,724,1.3146606061,103.8391140189,,
