name,count
Versteeg,8025
Verstegen,2736
Vervoort,2644
Verweij,7682
Vink,12161
Vinke,2126
Vis,5313
Visscher,6715
Visser,49525
de Visser,4976
Vissers,5921
van Vliet,16346
van der Vliet,3750
Voets,2020
Vogel,3954
Vogelaar,2239
Vogels,3671
Vogelzang,2020
Vonk,8275
Voogt,2275
van der Voort,3774
Voortman,2213
Vos,30279
de Vos,10892
Vossen,2305
de Vries,71065
Vrolijk,2981
van Vugt,5418
van Vuuren,1989
de Waal,5332
van der Waal,2489
de Waard,3957
Wagenaar,4740
van der Wal,13927
Walraven,2423
van Wanrooij,2832
Warmerdam,2233
Wassenaar,2459
Wassink,3117
van de Water,2264
Weber,3221
de Weerd,3489
van der Weide,3588
van der Weijden,2171
Weijers,4263
van der Wel,2133
van der Werf,6290
van der Werff,3027
Werkman,2150
Wesseling,2077
Wesselink,2189
Wessels,6035
Westerhof,3673
Westerink,1944
Westerveld,2321
Westra,4221
van de Wetering,4328
Wever,3218
Wevers,2012
van de Wiel,3612
van der Wiel,2082
van der Wielen,2323
Wieringa,2503
Wiersma,6405
Wiggers,2117
Wijers,1941
van Wijk,12700
Wijnands,3442
Wijnen,4807
van Wijngaarden,4481
de Wilde,4758
Willems,16508
Willemse,4963
Willemsen,11230
Wind,2519
van Wingerden,2436
Winkel,2317
Winter,2795
de Winter,4491
Winters,2789
Wisse,2224
Wissink,2290
de Wit,24055
Witte,3333
de Witte,2541
Witteveen,3576
Wolf,3740
de Wolf,2711
Wolff,2022
Wolfs,2720
Wolters,9991
Wong,2476
van der Woude,4377
Woudstra,2279
Wouters,8709
Yildirim,2567
Yildiz,2711
Yilmaz,4512
Zandbergen,2672
van der Zanden,3195
van Zanten,5456
van der Zee,5307
de Zeeuw,3474
Zegers,2659
van Zijl,2442
Zijlstra,8022
Zomer,2012
van Zon,3011
Zonneveld,3842
Zuidema,3584
van Zutphen,2051
Zwaan,3541
van der Zwan,3229
Zwart,5949
de Zwart,2822
Zweers,2392
Zwiers,2966
