DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
06/20/2017,10:13,BROOKLYN,11210,40.634846,-73.94594,"(40.634846, -73.94594)",,,675       EAST 32 STREET                ,0,0,0,0,0,0,0,0,Unspecified,,,,,3696261,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/20/2017,10:13,QUEENS,11361,40.761993,-73.75849,"(40.761993, -73.75849)",NORTHERN BOULEVARD              ,223 STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3695417,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/20/2017,10:13,,,40.604153,-74.05198,"(40.604153, -74.05198)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,,,3696005,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,
06/20/2017,10:13,BRONX,10469,40.859097,-73.83813,"(40.859097, -73.83813)",ASTOR AVENUE                    ,TIEMANN AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3695263,MOTORCYCLE,PASSENGER VEHICLE,,,
06/20/2017,10:15,BROOKLYN,11201,40.689144,-73.99071,"(40.689144, -73.99071)",ATLANTIC AVENUE                 ,BOERUM PLACE,,0,0,0,0,0,0,0,0,Oversized Vehicle,Driver Inattention/Distraction,,,,3695441,PASSENGER VEHICLE,,,,
06/20/2017,10:15,,,40.703316,-74.007774,"(40.703316, -74.007774)",SOUTH STREET                    ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3695277,SPORT UTILITY / STATION WAGON,TAXI,,,
06/20/2017,10:20,,,40.79124,-73.9794,"(40.79124, -73.9794)",RIVERSIDE DRIVE                 ,,,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,Unspecified,,,,3695407,PICK-UP TRUCK,PASSENGER VEHICLE,,,
06/20/2017,10:20,,,40.760464,-73.826546,"(40.760464, -73.826546)",UNION STREET                    ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3694489,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,
06/20/2017,10:20,,,40.74804,-73.819626,"(40.74804, -73.819626)",LABURNUM AVENUE                 ,,,2,0,0,0,1,0,1,0,Unspecified,,,,,3694490,BICYCLE,,,,
06/20/2017,10:25,QUEENS,11434,40.672016,-73.77023,"(40.672016, -73.77023)",,,137-36    170 STREET                    ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3696501,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
06/20/2017,10:27,BRONX,10474,40.816864,-73.882744,"(40.816864, -73.882744)",,,772       EDGEWATER ROAD                ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3695460,,,,,
06/20/2017,10:28,BRONX,10458,40.863476,-73.89017,"(40.863476, -73.89017)",DECATUR AVENUE                  ,EAST 194 STREET,,0,0,0,0,0,0,0,0,Driver Inexperience,,,,,3695844,PASSENGER VEHICLE,,,,
06/20/2017,10:30,BROOKLYN,11206,40.70351,-73.94512,"(40.70351, -73.94512)",,,29        MOORE STREET                  ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3695079,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
06/20/2017,10:30,BROOKLYN,11210,40.635815,-73.95343,"(40.635815, -73.95343)",BEDFORD AVENUE                  ,FARRAGUT ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3695590,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/20/2017,10:30,QUEENS,11430,,,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3694982,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
