ReportingYear,AQValue,Unit,StationLocalId,SamplingPointLocalId,SamplingPoint_Latitude,SamplingPoint_Longitude,Pollutant,AggregationType,Namespace,BeginPosition,EndPosition,DataCoverage,DataCapture
2013,5.85035608,ug.m-3,STA-NL00538,SPO-NL00538_00035_100,52.804721829483249,5.0508418099999997,Ammonia (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,92.32876712,92.32876712
2013,4.83922828,ug.m-3,STA-NL00929,SPO-NL00929_00035_100,52.876663209483603,6.9333334000000022,Ammonia (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,84.9086758,84.9086758
2015,4.6287392,ug.m-3,STA-NL00538,SPO-NL00538_00035_100,52.804721829483249,5.0508418099999997,Ammonia (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2015-01-01,2016-01-01,84.56621005,84.56621005
2015,4.42529985,ug.m-3,STA-NL00929,SPO-NL00929_00035_100,52.876663209483603,6.9333334000000022,Ammonia (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2015-01-01,2016-01-01,88.89269406,88.89269406
2013,3.22372209,ug.m-3,STA-NL00235,SPO-NL00235_00035_100,51.435001369476886,4.3602862399999998,Ammonia (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,84.37214612,84.37214612
2014,2.29361581,ug.m-3,STA-NL00444,SPO-NL00444_00035_100,52.298053739480757,4.5102863299999996,Ammonia (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2014-01-01,2015-01-01,90.92465753,90.92465753
2015,2.11763611,ug.m-3,STA-NL00444,SPO-NL00444_00035_100,52.298053739480757,4.5102863299999996,Ammonia (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2015-01-01,2016-01-01,90.15981735,90.15981735
2013,1.92927812,ug.m-3,STA-NL00444,SPO-NL00444_00035_100,52.298053739480757,4.5102863299999996,Ammonia (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,89.18949772,89.18949772
2013,1.37996551,ug.m-3,STA-NL00483,SPO-NL00483_00020_100,51.869999999478779,4.3197219999999996,Benzene (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,79.45205479,79.45205479
2013,1.32940809,ug.m-3,STA-NL00017,SPO-NL00017_00020_100,52.358055109481057,4.9000000999999989,Benzene (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,87.94520548,87.94520548
2015,1.28623195,ug.m-3,STA-NL00495,SPO-NL00495_00020_100,51.931945799479067,4.2277779600000001,Benzene (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2015-01-01,2016-01-01,94.09817352,94.09817352
2016,1.13533718,ug.m-3,STA-NL00017,SPO-NL00017_00020_100,52.358055109481057,4.9000000999999989,Benzene (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,92.6798725,92.70097928
2014,1.12911042,ug.m-3,STA-NL00494,SPO-NL00494_00020_100,51.921110999479019,4.401389,Benzene (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2014-01-01,2015-01-01,89.31506849,89.31506849
2014,1.11748201,ug.m-3,STA-NL00485,SPO-NL00485_00020_100,51.866107939478766,4.3552775400000003,Benzene (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2014-01-01,2015-01-01,76.16438356,76.16438356
2013,1.05783132,ug.m-3,STA-NL00704,SPO-NL00704_00020_100,52.430000309481379,4.7699999800000015,Benzene (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,90.95890411,90.95890411
2015,1.02827909,ug.m-3,STA-NL00494,SPO-NL00494_00020_100,51.921110999479019,4.401389,Benzene (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2015-01-01,2016-01-01,92.60273973,92.60273973
2013,0.9716959,ug.m-3,STA-NL00495,SPO-NL00495_00020_100,51.931945799479067,4.2277779600000001,Benzene (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,93.69863014,93.69863014
2015,0.94312522,ug.m-3,STA-NL00704,SPO-NL00704_00020_100,52.430000309481379,4.7699999800000015,Benzene (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2015-01-01,2016-01-01,93.07077626,93.07077626
2014,0.84591666,ug.m-3,STA-NL00495,SPO-NL00495_00020_100,51.931945799479067,4.2277779600000001,Benzene (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2014-01-01,2015-01-01,98.63013699,98.63013699
2016,0.84565244,ug.m-3,STA-NL00704,SPO-NL00704_00020_100,52.430000309481379,4.7699999800000015,Benzene (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,92.04234973,92.06331132
2015,0.82065963,ug.m-3,STA-NL00546,SPO-NL00546_00020_100,52.420218999481349,4.8320639999999999,Benzene (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2015-01-01,2016-01-01,93.10502283,93.10502283
2014,0.82048192,ug.m-3,STA-NL00546,SPO-NL00546_00020_100,52.420218999481349,4.8320639999999999,Benzene (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2014-01-01,2015-01-01,90.95890411,90.95890411
2015,0.82003188,ug.m-3,STA-NL00017,SPO-NL00017_00020_100,52.358055109481057,4.9000000999999989,Benzene (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2015-01-01,2016-01-01,93.08219178,93.08219178
2014,0.78852941,ug.m-3,STA-NL00017,SPO-NL00017_00020_100,52.358055109481057,4.9000000999999989,Benzene (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2014-01-01,2015-01-01,93.15068493,93.15068493
2014,0.76939481,ug.m-3,STA-NL00496,SPO-NL00496_00020_100,51.978055999479267,4.1213889999999989,Benzene (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2014-01-01,2015-01-01,95.06849315,95.06849315
2016,0.76588447,ug.m-3,STA-NL00546,SPO-NL00546_00020_100,52.420218999481349,4.8320639999999999,Benzene (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,94.60382514,94.62537008
2015,0.75479379,ug.m-3,STA-NL00496,SPO-NL00496_00020_100,51.978055999479267,4.1213889999999989,Benzene (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2015-01-01,2016-01-01,88.29908676,88.29908676
2013,0.72701863,ug.m-3,STA-NL00703,SPO-NL00703_00020_100,52.400001529481244,4.7300000200000012,Benzene (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,88.21917808,88.21917808
2014,0.68940809,ug.m-3,STA-NL00703,SPO-NL00703_00020_100,52.400001529481244,4.7300000200000012,Benzene (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2014-01-01,2015-01-01,87.94520548,87.94520548
2013,0.66205882,ug.m-3,STA-NL00546,SPO-NL00546_00020_100,52.420218999481349,4.8320639999999999,Benzene (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,93.15068493,93.15068493
2015,0.62140702,ug.m-3,STA-NL00485,SPO-NL00485_00020_100,51.866107939478766,4.3552775400000003,Benzene (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2015-01-01,2016-01-01,87.78538813,87.78538813
2013,0.60828402,ug.m-3,STA-NL00496,SPO-NL00496_00020_100,51.978055999479267,4.1213889999999989,Benzene (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,92.60273973,92.60273973
2013,0.59537459,ug.m-3,STA-NL00633,SPO-NL00633_00020_102,52.138888999480002,4.8383359999999991,Benzene (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,84.10958904,84.10958904
2013,0.57758522,ug.m-3,STA-NL00485,SPO-NL00485_00020_100,51.866107939478766,4.3552775400000003,Benzene (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,96.43835616,96.43835616
2016,0.57328528,ug.m-3,STA-NL00703,SPO-NL00703_00020_100,52.400001529481244,4.7300000200000012,Benzene (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,94.77459016,94.79617399
2015,0.54427233,ug.m-3,STA-NL00703,SPO-NL00703_00020_100,52.400001529481244,4.7300000200000012,Benzene (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2015-01-01,2016-01-01,95.06849315,95.06849315
2013,12.71895316,ug.m-3,STA-NL00448,SPO-NL00448_00006_100,51.92694472947904,4.4616775500000001,Black smoke (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,99.45205479,99.45205479
2014,12.21577142,ug.m-3,STA-NL00448,SPO-NL00448_00006_100,51.92694472947904,4.4616775500000001,Black smoke (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2014-01-01,2015-01-01,95.89041096,95.89041096
2013,10.32351906,ug.m-3,STA-NL00240,SPO-NL00240_00006_100,51.59360885947757,4.8250083899999998,Black smoke (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,93.42465753,93.42465753
2014,9.41756232,ug.m-3,STA-NL00433,SPO-NL00433_00006_103,51.911392209478961,4.32695293,Black smoke (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2014-01-01,2015-01-01,98.90410959,98.90410959
2014,8.53259136,ug.m-3,STA-NL00240,SPO-NL00240_00006_100,51.59360885947757,4.8250083899999998,Black smoke (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2014-01-01,2015-01-01,82.46575342,82.46575342
2013,7.65408637,ug.m-3,STA-NL00641,SPO-NL00641_00006_100,52.203055999480299,4.9886140000000001,Black smoke (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,82.46575342,82.46575342
2013,5.70703601,ug.m-3,STA-NL00131,SPO-NL00131_00006_112,51.541110989477339,5.8536138500000012,Black smoke (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,98.90410959,98.90410959
2014,5.39506211,ug.m-3,STA-NL00131,SPO-NL00131_00006_112,51.541110989477339,5.8536138500000012,Black smoke (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2014-01-01,2015-01-01,88.21917808,88.21917808
2013,5.18712676,ug.m-3,STA-NL00241,SPO-NL00241_00006_100,51.603332519477618,4.7808470699999992,Black smoke (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,97.26027397,97.26027397
2013,4.62808988,ug.m-3,STA-NL00738,SPO-NL00738_00006_100,52.112499239479874,5.7086191199999998,Black smoke (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,97.53424658,97.53424658
2014,4.59861495,ug.m-3,STA-NL00241,SPO-NL00241_00006_100,51.603332519477618,4.7808470699999992,Black smoke (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2014-01-01,2015-01-01,98.90410959,98.90410959
2014,4.44208571,ug.m-3,STA-NL00738,SPO-NL00738_00006_100,52.112499239479874,5.7086191199999998,Black smoke (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2014-01-01,2015-01-01,95.89041096,95.89041096
2014,3.77872159,ug.m-3,STA-NL00444,SPO-NL00444_00006_101,52.298053739480757,4.5102863299999996,Black smoke (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2014-01-01,2015-01-01,96.43835616,96.43835616
2013,3.06391549,ug.m-3,STA-NL00444,SPO-NL00444_00006_101,52.298053739480757,4.5102863299999996,Black smoke (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,97.26027397,97.26027397
2013,2.76947513,ug.m-3,STA-NL00538,SPO-NL00538_00006_112,52.804721829483249,5.0508418099999997,Black smoke (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,99.17808219,99.17808219
2014,2.41098765,ug.m-3,STA-NL00538,SPO-NL00538_00006_112,52.804721829483249,5.0508418099999997,Black smoke (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2014-01-01,2015-01-01,88.76712329,88.76712329
2016,2.2352073,ug.m-3,STA-NL00007,SPO-NL00007_00391_100,52.381111149481171,4.8450112300000008,black_carbon (aerosol),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,99.66985428,99.69255295
2016,2.08033888,ug.m-3,STA-NL00487,SPO-NL00487_00391_100,51.891113279478887,4.48111105,black_carbon (aerosol),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,99.13479053,99.15736734
2016,2.08033888,ug.m-3,STA-NL00487,SPO-NL00487_00391_100,51.891113279478887,4.48111105,black_carbon (aerosol),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,99.13479053,99.15736734
2016,2.07969056,ug.m-3,STA-NL00020,SPO-NL00020_00391_100,52.375831599481117,4.8608417499999996,black_carbon (aerosol),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,93.81830601,93.83967206
2016,1.90107959,ug.m-3,STA-NL00741,SPO-NL00741_00391_100,51.848888999478682,5.8580610000000011,black_carbon (aerosol),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,99.54462659,99.56729674
2016,1.6297685,ug.m-3,STA-NL00017,SPO-NL00017_00391_100,52.358055109481057,4.9000000999999989,black_carbon (aerosol),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,99.82923497,99.85196994
2016,1.61596248,ug.m-3,STA-NL00237,SPO-NL00237_00391_100,51.445279999476931,5.4288999999999996,black_carbon (aerosol),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,96.51639344,96.53837395
2016,1.61107849,ug.m-3,STA-NL00012,SPO-NL00012_00391_100,52.390003199481221,4.8880581900000006,black_carbon (aerosol),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,98.90710383,98.92962879
2016,1.46654261,ug.m-3,STA-NL00641,SPO-NL00641_00391_100,52.203055999480299,4.9886140000000001,black_carbon (aerosol),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,99.11202186,99.13459349
2016,1.44823095,ug.m-3,STA-NL00491,SPO-NL00491_00391_100,51.93805599947909,4.4311109999999996,black_carbon (aerosol),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,99.81785064,99.84058301
2016,1.44823095,ug.m-3,STA-NL00491,SPO-NL00491_00391_100,51.93805599947909,4.4311109999999996,black_carbon (aerosol),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,99.81785064,99.84058301
2016,1.23986914,ug.m-3,STA-NL00494,SPO-NL00494_00391_100,51.921110999479019,4.401389,black_carbon (aerosol),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,99.70400729,99.72671373
2016,1.11728921,ug.m-3,STA-NL00247,SPO-NL00247_00391_100,51.407501219476785,5.3933334400000001,black_carbon (aerosol),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,98.56557377,98.58802095
2016,1.03651354,ug.m-3,STA-NL00742,SPO-NL00742_00391_100,51.838888999478641,5.8580609999999993,black_carbon (aerosol),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,97.893898,97.91619221
2016,1.00558669,ug.m-3,STA-NL00488,SPO-NL00488_00391_100,51.89389037947889,4.4874997100000007,black_carbon (aerosol),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,98.74772313,98.7702118
2016,0.97638373,ug.m-3,STA-NL00701,SPO-NL00701_00391_100,52.45000075948149,4.8166665999999996,black_carbon (aerosol),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,99.3852459,99.40787975
2016,0.95204852,ug.m-3,STA-NL00138,SPO-NL00138_00391_100,50.900316999474725,5.986853,black_carbon (aerosol),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,99.47632058,99.49897518
2016,0.92925775,ug.m-3,STA-NL00014,SPO-NL00014_00391_100,52.359996799481046,4.8088974999999996,black_carbon (aerosol),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,98.3151184,98.33750854
2016,0.91877424,ug.m-3,STA-NL00496,SPO-NL00496_00391_100,51.978055999479267,4.1213889999999989,black_carbon (aerosol),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,99.1917122,99.21430198
2016,0.91877424,ug.m-3,STA-NL00496,SPO-NL00496_00391_100,51.978055999479267,4.1213889999999989,black_carbon (aerosol),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,99.1917122,99.21430198
2016,0.91509896,ug.m-3,STA-NL00003,SPO-NL00003_00391_100,52.3888893094812,4.94389725,black_carbon (aerosol),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,98.9298725,98.95240264
2016,0.91509896,ug.m-3,STA-NL00003,SPO-NL00003_00391_100,52.3888893094812,4.94389725,black_carbon (aerosol),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,98.9298725,98.95240264
2016,0.86062707,ug.m-3,STA-NL00821,SPO-NL00821_00391_100,52.234500889480465,6.9194941500000002,black_carbon (aerosol),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,99.48770492,99.5103621
2016,0.84933669,ug.m-3,STA-NL00131,SPO-NL00131_00391_100,51.541110989477339,5.8536138500000012,black_carbon (aerosol),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,96.97176685,96.99385106
2016,0.84933669,ug.m-3,STA-NL00131,SPO-NL00131_00391_100,51.541110989477339,5.8536138500000012,black_carbon (aerosol),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,96.97176685,96.99385106
2016,0.77931937,ug.m-3,STA-NL00633,SPO-NL00633_00391_100,52.138888999480002,4.8383359999999991,black_carbon (aerosol),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,97.84836066,97.8706445
2016,0.73070823,ug.m-3,STA-NL00807,SPO-NL00807_00391_100,52.389167789481192,6.4036140399999999,black_carbon (aerosol),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,99.49908925,99.52174903
2016,0.66098312,ug.m-3,STA-NL00444,SPO-NL00444_00391_100,52.298053739480757,4.5102863299999996,black_carbon (aerosol),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,97.84836066,97.8706445
2016,0.64947563,ug.m-3,STA-NL00929,SPO-NL00929_00391_100,52.876663209483603,6.9333334000000022,black_carbon (aerosol),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,98.3492714,98.37166932
2016,0.58127362,ug.m-3,STA-NL00938,SPO-NL00938_00391_100,53.246944429485559,6.6088972100000003,black_carbon (aerosol),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,94.56967213,94.59120929
2016,403.41632722,mg.m-3,STA-NL00007,SPO-NL00007_00010_100,52.381111149481171,4.8450112300000008,Carbon monoxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,99.49908925,99.52174903
2016,369.61542301,mg.m-3,STA-NL00741,SPO-NL00741_00010_100,51.848888999478682,5.8580610000000011,Carbon monoxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,95.53734062,95.55909816
2016,347.96047015,mg.m-3,STA-NL00551,SPO-NL00551_00010_100,52.463019999481546,4.6019220000000001,Carbon monoxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,99.76092896,99.78364837
2016,339.80733271,mg.m-3,STA-NL00012,SPO-NL00012_00010_100,52.390003199481221,4.8880581900000006,Carbon monoxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,99.36247723,99.3851059
2016,279.59165598,mg.m-3,STA-NL00014,SPO-NL00014_00010_100,52.359996799481046,4.8088974999999996,Carbon monoxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,97.68897996,97.71122751
2016,277.45516687,mg.m-3,STA-NL00561,SPO-NL00561_00010_100,52.333560999480937,4.7735890000000012,Carbon monoxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,99.26001821,99.28262355
2016,217.61684849,mg.m-3,STA-NL00644,SPO-NL00644_00010_100,51.974639999479258,4.9234299999999989,Carbon monoxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2016-01-01,2017-01-01,95.58287796,95.60464587
2015,0.4682714,mg.m-3,STA-NL00487,SPO-NL00487_00010_100,51.891113279478887,4.48111105,Carbon monoxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2015-01-01,2016-01-01,98.00228311,98.00228311
2014,0.43045116,mg.m-3,STA-NL00487,SPO-NL00487_00010_100,51.891113279478887,4.48111105,Carbon monoxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2014-01-01,2015-01-01,98.88127854,98.88127854
2013,0.40895342,mg.m-3,STA-NL00487,SPO-NL00487_00010_100,51.891113279478887,4.48111105,Carbon monoxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,99.26940639,99.26940639
2013,0.39384979,mg.m-3,STA-NL00741,SPO-NL00741_00010_100,51.848888999478682,5.8580610000000011,Carbon monoxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,99.40639269,99.40639269
2013,0.38244035,mg.m-3,STA-NL00491,SPO-NL00491_00010_100,51.93805599947909,4.4311109999999996,Carbon monoxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,94.25799087,94.25799087
2013,0.38048213,mg.m-3,STA-NL00012,SPO-NL00012_00010_100,52.390003199481221,4.8880581900000006,Carbon monoxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,95.86757991,95.86757991
2014,0.37789946,mg.m-3,STA-NL00741,SPO-NL00741_00010_100,51.848888999478682,5.8580610000000011,Carbon monoxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2014-01-01,2015-01-01,96.74657534,96.74657534
2014,0.37252278,mg.m-3,STA-NL00491,SPO-NL00491_00010_100,51.93805599947909,4.4311109999999996,Carbon monoxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2014-01-01,2015-01-01,99.6803653,99.6803653
2014,0.36889408,mg.m-3,STA-NL00012,SPO-NL00012_00010_100,52.390003199481221,4.8880581900000006,Carbon monoxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2014-01-01,2015-01-01,96.24429224,96.24429224
2015,0.35391144,mg.m-3,STA-NL00488,SPO-NL00488_00010_100,51.89389037947889,4.4874997100000007,Carbon monoxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2015-01-01,2016-01-01,87.14611872,87.14611872
2013,0.35342906,mg.m-3,STA-NL00551,SPO-NL00551_00010_100,52.463019999481546,4.6019220000000001,Carbon monoxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,93.17351598,93.17351598
2013,0.35019762,mg.m-3,STA-NL00561,SPO-NL00561_00010_100,52.333560999480937,4.7735890000000012,Carbon monoxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,95.30821918,95.30821918
2013,0.34871714,mg.m-3,STA-NL00007,SPO-NL00007_00010_100,52.381111149481171,4.8450112300000008,Carbon monoxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2013-01-01,2014-01-01,92.94520548,92.94520548
2015,0.34374592,mg.m-3,STA-NL00741,SPO-NL00741_00010_100,51.848888999478682,5.8580610000000011,Carbon monoxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2015-01-01,2016-01-01,97.94520548,97.94520548
2014,0.34313754,mg.m-3,STA-NL00007,SPO-NL00007_00010_100,52.381111149481171,4.8450112300000008,Carbon monoxide (air),Annual mean / 1 calendar year,NL.RIVM.AQ,2014-01-01,2015-01-01,96.94063927,96.94063927
